GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Java TelegramAPI Module,default,Application,68,0,0,0,19,0,2,0,2,0
Java TelegramAPI Module,pomodoro.core,Phase,0,21,0,0,0,4,0,1,0,1
Java TelegramAPI Module,pomodoro.core,SetupStep,0,39,0,0,0,7,0,1,0,1
Java TelegramAPI Module,pomodoro.core,Timer,0,59,1,5,0,16,1,9,0,7
Java TelegramAPI Module,pomodoro.core,PomodoroSession,16,125,4,8,5,38,6,17,2,15
Java TelegramAPI Module,pomodoro.core,PomodoroServiceSettings,0,53,0,14,0,10,0,8,0,1
Java TelegramAPI Module,pomodoro.core,SessionState,0,21,0,0,0,4,0,1,0,1
Java TelegramAPI Module,pomodoro.core,MotivationPhoto,0,29,2,6,0,6,2,3,0,1
Java TelegramAPI Module,pomodoro.core,PomodoroRank,0,84,0,6,0,15,0,7,0,4
Java TelegramAPI Module,bot,BotRouter,241,212,16,26,83,56,19,9,3,4
Java TelegramAPI Module,bot.utils,StatsUtils,61,3,0,0,12,1,1,1,1,1
Java TelegramAPI Module,bot.utils,StatsWriter,33,3,0,0,7,1,1,1,1,1
Java TelegramAPI Module,bot.utils,CsvStatsReader,133,12,7,0,30,5,6,1,2,1
Java TelegramAPI Module,bot.utils,CsvResourceReader,18,67,3,7,4,18,3,5,0,3
Java TelegramAPI Module,bot.utils,ReplyUtils,35,220,4,28,12,75,5,17,1,5
Java TelegramAPI Module,bot.utils,RawEvent,12,0,0,0,1,0,1,0,1,0
Java TelegramAPI Module,movie_quiz.service,GameManager,0,67,0,6,0,17,0,9,0,6
Java TelegramAPI Module,markups,PomodoroKeyboardFactory,44,51,0,0,11,11,1,2,1,2
Java TelegramAPI Module,markups,MovieQuizKeyboardFactory,5,96,2,2,1,19,2,2,0,2
Java TelegramAPI Module,command,CommandDispatcher,0,70,0,2,0,14,0,4,0,3
Java TelegramAPI Module,command,CommandMovieQuiz,4,62,2,4,2,18,2,4,0,3
Java TelegramAPI Module,command,CommandStart,4,46,2,2,2,17,2,3,0,3
Java TelegramAPI Module,command,CommandPomodoro,0,73,0,8,0,23,0,7,0,3
Java TelegramAPI Module,pomodoro.service,PomodoroManager,6,270,6,24,1,63,6,28,0,19
Java TelegramAPI Module,pomodoro.service,StatsLogger,20,9,0,0,4,4,1,1,1,1
Java TelegramAPI Module,pomodoro.bot,PomodoroReply,0,12,0,0,0,1,0,1,0,1
Java TelegramAPI Module,pomodoro.bot,PomodoroBot,344,567,30,28,74,120,24,20,3,10
Java TelegramAPI Module,movie_quiz.bot,BotReply,0,15,0,0,0,1,0,1,0,1
Java TelegramAPI Module,movie_quiz.bot,MovieQuizBot,70,205,2,6,16,56,3,8,1,6
Java TelegramAPI Module,config,Config,0,16,0,4,0,4,0,3,0,1
Java TelegramAPI Module,config,SystemEnvProvider,6,0,0,0,2,0,2,0,2,0
Java TelegramAPI Module,config,ConfigReaderEnvironment,0,16,0,0,0,5,0,2,0,2
Java TelegramAPI Module,movie_quiz.core,QuestionView,0,6,0,0,0,1,0,1,0,1
Java TelegramAPI Module,movie_quiz.core,GameSession,0,51,0,6,0,15,0,6,0,3
Java TelegramAPI Module,movie_quiz.core,MovieQuizRank,3,128,2,4,1,19,2,5,0,4
Java TelegramAPI Module,movie_quiz.core,QuestionMovie,0,116,0,18,0,27,0,14,0,5
Java TelegramAPI Module,movie_quiz.core,Movie,0,29,0,8,0,6,0,5,0,1
